T Wed Jan 22 08:45:03 CET 2014
6859 -0.7902844 -0.49361563 -1.2517071 -1.2974596 2.1982872 9.468607
6876 -0.106464386 0.39345574 -2.0373178 -1.2725958 2.2114358 9.46892
6895 0.024133205 0.3827312 0.9855633 -1.326579 2.1646993 9.47231
6915 0.21194518 0.23138356 1.9242134 -1.361162 2.1436646 9.472187
6931 0.38364965 0.2497716 0.31871128 -1.3221767 2.1827374 9.468785
6953 0.54125905 -0.32679975 0.10823631 -1.28825 2.2038538 9.468571
6972 0.43528467 -0.75363255 0.39286232 -1.25889 2.2093072 9.471249
6991 0.27970546 -0.4168538 0.21908855 -1.1990789 2.236447 9.47264
7011 -0.04126239 0.30414677 0.29763222 -1.1271081 2.2815912 9.470711
7031 -0.38540053 0.8057778 0.87624836 -1.0894277 2.3162613 9.466703
7051 -0.25749588 0.4677391 1.4004698 -1.0832571 2.347842 9.459629
7071 -0.58464086 -0.13491797 0.12183666 -1.0625699 2.3758907 9.45497
7095 -0.21308076 -0.55153453 -1.1037636 -1.0319041 2.3902814 9.45474
7113 0.122400105 0.25465584 -0.31782436 -1.0417736 2.388543 9.454098
7133 -0.08487284 0.62105155 0.526824 -1.0643439 2.3860657 9.4522085
7155 -0.29774463 0.4571395 1.1502352 -1.0047011 2.3775954 9.460867
7168 -0.47777456 -0.6897118 -0.8107147 -0.9395929 2.3752298 9.468148
7188 -0.079989314 -0.86227417 -2.6535616 -0.896845 2.3754096 9.472248
7208 0.39360595 0.27884912 -1.8572206 -0.987368 2.3835032 9.4612055
7228 0.10141754 1.40559 -0.017552376 -1.116559 2.4059792 9.441131
7248 0.8125949 0.18624711 0.66185665 -1.0424383 2.3994908 9.451251
7267 0.47698897 -0.9650507 -1.1958332 -0.9941365 2.4207253 9.45104
7287 0.9872269 -0.9584563 -2.2235465 -1.0255342 2.4332845 9.444459
7307 1.2311996 0.014745235 -0.55312157 -1.0971243 2.4177637 9.440398
7334 -0.1776377 1.2410553 1.7226229 -1.0673472 2.417285 9.4439335
7354 -0.6394478 -0.33083558 0.8967352 -0.9503021 2.4568868 9.446217
7374 0.18615174 -1.1215192 -1.775012 -0.93314266 2.5005794 9.436458
7395 0.9232798 -1.0776252 -1.7614574 -0.9424334 2.475839 9.442057
7414 0.29914087 0.04673004 -0.56247425 -0.95036376 2.4432397 9.449751
7434 -0.4810583 0.28387833 -0.55032444 -0.89800185 2.4359348 9.456755
7456 -0.04848665 0.04985261 -0.22120762 -0.8708868 2.4592707 9.453249
7475 0.092059195 0.35908294 -0.5818491 -0.9539718 2.5139592 9.430819
7544 -0.33756208 1.2175076 0.08779049 -1.0223445 2.5557542 9.412402
7544 -0.38255042 0.6714966 2.139927 -0.84328085 2.4888496 9.4480095
7544 0.27618885 -0.43319416 2.6385593 -0.69756836 2.4634771 9.466524
